course_id,course_name,course_overview_raw,course_url,credits,discovery_method,discovery_source_url,display_course_code,http_status,in_canonical_workbooks_before,in_database_before,page_title,prerequisite_status,prerequisite_text_raw,reconciliation,seed,status,subject_category,validation_notes,validation_status
SGST9220,,,https://www.bcit.ca/courses/information-and-communication-technology-in-electric-utilities-sgst-9220/,,program_matrix_link,https://www.bcit.ca/programs/smart-grid-systems-and-technologies-master-of-engineering-full-time-part-time-m500meng/,SGST 9220,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
SGST9230,,,https://www.bcit.ca/courses/power-system-protection-and-control-sgst-9230/,,program_matrix_link,https://www.bcit.ca/programs/smart-grid-systems-and-technologies-master-of-engineering-full-time-part-time-m500meng/,SGST 9230,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
SGST9330,,,https://www.bcit.ca/courses/data-acquisition-and-analytics-in-electric-utilities-sgst-9330/,,program_matrix_link,https://www.bcit.ca/programs/smart-grid-systems-and-technologies-master-of-engineering-full-time-part-time-m500meng/,SGST 9330,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
SGST9430,,,https://www.bcit.ca/courses/directed-studies-in-smart-grid-elective-course-sgst-9430/,,program_matrix_link,https://www.bcit.ca/programs/smart-grid-systems-and-technologies-master-of-engineering-full-time-part-time-m500meng/,SGST 9430,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
SLCF1150,,,https://www.bcit.ca/courses/spanish-language-and-culture-working-foundations-slcf-1150/,,program_matrix_link,https://www.bcit.ca/programs/spanish-language-and-culture-fundamentals-microcredential-part-time-0843cm/,SLCF 1150,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
SLCF1155,,,https://www.bcit.ca/courses/spanish-language-and-culture-practical-exchanges-slcf-1155/,,program_matrix_link,https://www.bcit.ca/programs/spanish-language-and-culture-fundamentals-microcredential-part-time-0843cm/,SLCF 1155,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
SURV1111,,,https://www.bcit.ca/courses/survey-instruments-basic-surveying-with-gnss-satellite-positioning-surv-1111/,,program_matrix_link,https://www.bcit.ca/programs/geomatics-engineering-technology-diploma-full-time-7535dipma/,SURV 1111,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
SURV1125,,,https://www.bcit.ca/courses/unmanned-aircraft-systems-applications-for-geomatics-surv-1125/,,program_matrix_link,https://www.bcit.ca/programs/geomatics-engineering-technology-diploma-full-time-7535dipma/,SURV 1125,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
SURV5108,,,https://www.bcit.ca/courses/fundamentals-of-surveying-surv-5108/,,program_matrix_link,https://www.bcit.ca/programs/geomatics-engineering-technology-diploma-full-time-7535dipma/,SURV 5108,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TDMT1150,,,https://www.bcit.ca/courses/transportation-systems-citt-tdmt-1150/,,program_matrix_link,https://www.bcit.ca/programs/international-trade-and-transportation-logistics-certificate-part-time-7460mcert/,TDMT 1150,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TDMT1204,,,https://www.bcit.ca/courses/international-transportation-and-trade-ciffa-tdmt-1204/,,program_matrix_link,https://www.bcit.ca/programs/international-trade-and-transportation-logistics-certificate-part-time-7460mcert/,TDMT 1204,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TDMT1205,,,https://www.bcit.ca/courses/essentials-of-freight-forwarding-ciffa-tdmt-1205/,,program_matrix_link,https://www.bcit.ca/programs/international-trade-and-transportation-logistics-certificate-part-time-7460mcert/,TDMT 1205,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TDMT2203,,,https://www.bcit.ca/courses/transportation-economics-tdmt-2203/,,program_matrix_link,https://www.bcit.ca/programs/international-trade-and-transportation-logistics-certificate-part-time-7460mcert/,TDMT 2203,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
