program_id,source_url,source_title,credential,format,domestic_only,intake_start,application_status,campus,matched
847CBTECH,https://www.bcit.ca/programs/forensic-investigation-digital-forensics-and-cybersecurity-option-bachelor-of-technology-full-time-part-time-847cbtech/,Forensic Investigation Digital Forensics and Cybersecurity Option,Bachelor of Technology,Full-time,false,Jan 2027,Open,Blended: Downtown Campus,true
847CBTECH,https://www.bcit.ca/programs/forensic-investigation-digital-forensics-and-cybersecurity-option-bachelor-of-technology-full-time-part-time-847cbtech/,Forensic Investigation Digital Forensics and Cybersecurity Option,Bachelor of Technology,Part-time,false,Sep 2026,Closed,Blended: Burnaby/Downtown,true
847CBTECH,https://www.bcit.ca/programs/forensic-investigation-digital-forensics-and-cybersecurity-option-bachelor-of-technology-full-time-part-time-847cbtech/,Forensic Investigation Digital Forensics and Cybersecurity Option,Bachelor of Technology,Part-time,false,Jan 2027,Open,Blended: Burnaby/Downtown,true
847CBTECH,https://www.bcit.ca/programs/forensic-investigation-digital-forensics-and-cybersecurity-option-bachelor-of-technology-full-time-part-time-847cbtech/,Forensic Investigation Digital Forensics and Cybersecurity Option,Bachelor of Technology,Part-time - Domestic Only,true,Apr 2027,Open,Blended: Burnaby/Downtown,true
528BADCERT,https://www.bcit.ca/programs/forensic-investigation-forensic-science-option-advanced-certificate-part-time-528badcert/,Forensic Investigation Forensic Science Option,Advanced Certificate,Part-time,false,Sep 2026,Closed,Blended: Burnaby/Downtown,true
528BADCERT,https://www.bcit.ca/programs/forensic-investigation-forensic-science-option-advanced-certificate-part-time-528badcert/,Forensic Investigation Forensic Science Option,Advanced Certificate,Part-time,false,Jan 2027,Open,Blended: Burnaby/Downtown,true
528BADCERT,https://www.bcit.ca/programs/forensic-investigation-forensic-science-option-advanced-certificate-part-time-528badcert/,Forensic Investigation Forensic Science Option,Advanced Certificate,Part-time - Domestic Only,true,Apr 2027,Open,Blended: Burnaby/Downtown,true
847BBTECH,https://www.bcit.ca/programs/forensic-investigation-forensic-science-option-bachelor-of-technology-part-time-847bbtech/,Forensic Investigation Forensic Science Option,Bachelor of Technology,Part-time,false,Sep 2026,Closed,Blended: Burnaby/Downtown,true
847BBTECH,https://www.bcit.ca/programs/forensic-investigation-forensic-science-option-bachelor-of-technology-part-time-847bbtech/,Forensic Investigation Forensic Science Option,Bachelor of Technology,Part-time,false,Jan 2027,Open,Blended: Burnaby/Downtown,true
847BBTECH,https://www.bcit.ca/programs/forensic-investigation-forensic-science-option-bachelor-of-technology-part-time-847bbtech/,Forensic Investigation Forensic Science Option,Bachelor of Technology,Part-time - Domestic Only,true,Apr 2027,Open,Blended: Burnaby/Downtown,true
